label,F0 Hz,F1 Hz,F2 Hz,F3 Hz,category,F0,F1,F2,F3,Z0,Z1,Z2,Z3,Openness,Frontness,Roundness
[i],120,270-280,2250-2290,2900-3010,front_unrounded,120.0,275.0,2270.0,2955.0,1.0167307692307692,2.7687695749440717,13.857399527186761,15.588728382502543,1.7520388057133025,11.08862995224269,1.7313288553157822
[ɪ],120,390-400,1920-1990,2550,front_unrounded,120.0,395.0,1955.0,2550.0,1.0167307692307692,3.9667940552016976,12.857879948914432,14.628647450110865,2.9500632859709284,8.891085893712734,1.770767501196433
[e],120,390-400,2100,2700,front_unrounded,120.0,395.0,2100.0,2700.0,1.0167307692307692,3.9667940552016976,13.337241379310345,15.003690987124465,2.9500632859709284,9.370447324108648,1.666449607814119
[ɛ],120,530-550,1770-1840,2480-2500,front_unrounded,120.0,540.0,1805.0,2490.0,1.0167307692307692,5.26096,12.323134130146082,14.471550561797752,4.24422923076923,7.062174130146082,2.14841643165167
[æ],120,660-690,1660-1720,2410-2500,front_unrounded,120.0,675.0,1690.0,2455.0,1.0167307692307692,6.337836812144213,11.883397260273973,14.377938844847113,5.321106042913444,5.545560448129761,2.49454158457314
[a],120,730,1450-1500,2400-2500,front_unrounded,120.0,730.0,1475.0,2450.0,1.0167307692307692,6.745576208178438,10.982299854439592,14.364444444444445,5.728845438947669,4.236723646261154,3.3821445900048523
[y],120,280,1800,2150,front_rounded,120.0,280.0,1800.0,2150.0,1.0167307692307692,2.82125,12.304574468085107,13.494695863746959,1.8045192307692308,9.483324468085108,1.1901213956618513
[ʏ],120,360,1640-1650,2100-2150,front_rounded,120.0,360.0,1645.0,2125.0,1.0167307692307692,3.6301724137931037,11.70368932038835,13.416450428396573,2.6134416445623345,8.073516906595245,1.7127611080082232
[ø],120,380-400,1400-1600,2200,front_rounded,120.0,390.0,1500.0,2200.0,1.0167307692307692,3.91931914893617,11.092832369942197,13.648365384615385,2.9025883797054006,7.1735132210060275,2.5555330146731876
[œ],120,500-510,1475-1500,2300-2350,front_rounded,120.0,505.0,1487.5,2325.0,1.0167307692307692,4.962515212981744,11.037766497461929,14.016849474912487,3.945784443750975,6.075251284480185,2.979082977450558
[ɶ],120,700,1300-1400,2400-2450,front_rounded,120.0,700.0,1350.0,2425.0,1.0167307692307692,6.525263157894736,10.404592145015107,14.296510832383126,5.508532388663967,3.8793289871203704,3.891918687368019
[ɨ],120,300,1550-1600,2500,central_unrounded,120.0,300.0,1575.0,2500.0,1.0167307692307692,3.0288495575221237,11.415049504950495,14.498026905829597,2.0121187882913545,8.386199947428372,3.082977400879102
[ɘ],120,400,1500-1550,2500,central_unrounded,120.0,400.0,1525.0,2500.0,1.0167307692307692,4.01406779661017,11.20177905308465,14.498026905829597,2.9973370273794004,7.18771125647448,3.2962478527449477
[ə],120,500,1500,2500,central,120.0,500.0,1500.0,2500.0,1.0167307692307692,4.9191869918699185,11.092832369942197,14.498026905829597,3.9024562226391493,6.173645378072279,3.4051945358874
[ɜ],120,580,1400-1450,2500,central_unrounded,120.0,580.0,1425.0,2500.0,1.0167307692307692,5.591968503937007,10.756336779911374,14.498026905829597,4.5752377347062385,5.1643682759743665,3.7416901259182236
[ɐ],120,650,1400,2500,central,120.0,650.0,1400.0,2500.0,1.0167307692307692,6.146819923371647,10.640833333333333,14.498026905829597,5.130089154140878,4.494013409961686,3.8571935724962643
[ä],120,750,1300-1350,2500,central,120.0,750.0,1325.0,2500.0,1.0167307692307692,6.889741697416974,10.283774733637747,14.498026905829597,5.873010928186204,3.3940330362207733,4.21425217219185
[ʉ],120,310,1200-1250,2300,central_rounded,120.0,310.0,1225.0,2300.0,1.0167307692307692,3.131277533039648,9.781538461538462,13.944882629107981,2.1145467638088786,6.650260928498814,4.1633441675695195
[ɵ],120,380-400,1250-1250,2300,central_rounded,120.0,390.0,1250.0,2300.0,1.0167307692307692,3.91931914893617,9.910031152647976,13.944882629107981,2.9025883797054006,5.990712003711806,4.034851476460005
[ɞ],120,550,1200,2300,central_rounded,120.0,550.0,1200.0,2300.0,1.0167307692307692,5.344701195219123,9.651012658227849,13.944882629107981,4.3279704259883545,4.306311463008726,4.293869970880133
[ɯ],120,300,1300,2500,back_unrounded,120.0,300.0,1300.0,2500.0,1.0167307692307692,3.0288495575221237,10.161104294478529,14.498026905829597,2.0121187882913545,7.132254736956405,4.336922611351069
[ɤ],120,400,1200,2500,back_unrounded,120.0,400.0,1200.0,2500.0,1.0167307692307692,4.01406779661017,9.651012658227849,14.498026905829597,2.9973370273794004,5.636944861617679,4.847014247601749
[ʌ],120,640,1190-1200,2390-2500,back_unrounded,120.0,640.0,1195.0,2445.0,1.0167307692307692,6.069384615384615,9.624659270998414,14.350919409761634,5.052653846153845,3.5552746556137995,4.7262601387632195
[ɑ],120,710-730,1090-1100,2440-2500,back_unrounded,120.0,720.0,1095.0,2470.0,1.0167307692307692,6.672686567164179,9.079476268412439,14.41823927765237,5.6559557979334105,2.4067897012482593,5.338763009239932
[u],120,300-310,870,2240-2250,back_rounded,120.0,305.0,870.0,2245.0,1.0167307692307692,3.0801766004415008,7.711943462897525,13.783543400713436,2.0634458312107316,4.631766862456025,6.07159993781591
[ʊ],120,440-450,1020-1030,2240-2350,back_rounded,120.0,445.0,1025.0,2295.0,1.0167307692307692,4.43068607068607,8.676113902847572,13.930387779083432,3.413955301455301,4.245427832161502,5.25427387623586
[o],120,400,800-850,2300-2500,back_rounded,120.0,400.0,825.0,2400.0,1.0167307692307692,4.01406779661017,7.411921005385996,14.227798165137616,2.9973370273794004,3.3978532087758264,6.8158771597516195
[ɔ],120,570-590,840-880,2410-2500,back_rounded,120.0,580.0,860.0,2455.0,1.0167307692307692,5.591968503937007,7.646099290780142,14.377938844847113,4.5752377347062385,2.0541307868431344,6.731839554066972
[ɒ],120,650,850,2450-2500,back_rounded,120.0,650.0,850.0,2475.0,1.0167307692307692,6.146819923371647,7.579786476868327,14.431612175873733,5.130089154140878,1.43296655349668,6.851825699005405
[ɚ],120,490-500,1350,1600-1690,rhotic,120.0,495.0,1350.0,1645.0,1.0167307692307692,4.8756822810590625,10.404592145015107,11.70368932038835,3.8589515118282933,5.528909863956044,1.2990971753732428
[ɜ˞],120,490-500,1350-1400,1650-1690,rhotic,120.0,495.0,1375.0,1670.0,1.0167307692307692,4.8756822810590625,10.523598200899551,11.804077134986226,3.8589515118282933,5.6479159198404885,1.2804789340866751
