index,t_start,t_end,duration,detected_label,expected_label
1,0.0,1.336263,1.336263,silent,
2,1.336263,1.680263,0.344,sounding,CURE_your
3,1.680263,2.368263,0.688,silent,
4,2.368263,2.672263,0.304,sounding,GOAT_home
5,2.672263,3.384263,0.712,silent,
6,3.384263,3.552263,0.168,sounding,DRESS_dress
7,3.552263,4.400263,0.848,silent,
8,4.400263,4.648263,0.248,sounding,2COMMA_comma
9,4.648263,5.400263,0.752,silent,
10,5.400263,5.728263,0.328,sounding,2HAPPY_coffee
11,5.728263,6.472263,0.744,silent,
12,6.472263,6.744263,0.272,sounding,PRICE_try
13,6.744263,7.504263,0.76,silent,
14,7.504263,7.704263,0.2,sounding,START_start
15,7.704263,8.544263,0.84,silent,
16,8.544263,8.816263,0.272,sounding,FORCE_door
17,8.816263,9.768263,0.952,silent,
18,9.768263,10.040263,0.272,sounding,TRAP_bad
19,10.040263,10.872263,0.832,silent,
20,10.872263,11.144263,0.272,sounding,CURE_cure
21,11.144263,12.952263,1.808,silent,
22,12.952263,13.272263,0.32,sounding,KIT_ship
23,13.272263,14.048263,0.776,silent,
24,14.048263,14.280263,0.232,sounding,CHOICE_coin
25,14.280263,16.160263,1.88,silent,
26,16.160263,16.360263,0.2,sounding,FACE_day
27,16.360263,17.152263,0.792,silent,
28,17.152263,17.376263,0.224,sounding,KIT_kit
29,17.376263,18.344263,0.968,silent,
30,18.344263,18.560263,0.216,sounding,BATH_dance
31,18.560263,19.384263,0.824,silent,
32,19.384263,19.680263,0.296,sounding,MOUTH_mouth
33,19.680263,20.480263,0.8,silent,
34,20.480263,20.656263,0.176,sounding,CURE_sure
35,20.656263,21.560263,0.904,silent,
36,21.560263,21.848263,0.288,sounding,NURSE_term
37,21.848263,22.720263,0.872,silent,
38,22.720263,22.944263,0.224,sounding,PRICE_price
39,22.944263,23.752263,0.808,silent,
40,23.752263,23.944263,0.192,sounding,CHOICE_join
41,23.944263,24.920263,0.976,silent,
42,24.920263,25.104263,0.184,sounding,FLEECE_bleed
43,25.104263,26.024263,0.92,silent,
44,26.024263,26.184263,0.16,sounding,DRESS_wet
45,26.184263,28.064263,1.88,silent,
46,28.064263,28.232263,0.168,sounding,LOT_dot
47,28.232263,29.104263,0.872,silent,
48,29.104263,29.288263,0.184,sounding,NEAR_fear
49,29.288263,30.200263,0.912,silent,
50,30.200263,30.400263,0.2,sounding,STRUT_cup
51,30.400263,31.304263,0.904,silent,
52,31.304263,31.480263,0.176,sounding,TRAP_tap
53,31.480263,32.296263,0.816,silent,
54,32.296263,32.568263,0.272,sounding,FACE_bait
55,32.568263,34.416263,1.848,silent,
56,34.416263,34.680263,0.264,sounding,START_far
57,34.680263,35.456263,0.776,silent,
58,35.456263,35.608263,0.152,sounding,TRAP_cat
59,35.608263,36.504263,0.896,silent,
60,36.504263,36.680263,0.176,sounding,2LETTER_letter
61,36.680263,37.616263,0.936,silent,
62,37.616263,37.792263,0.176,sounding,FOOT_put
63,37.792263,38.632263,0.84,silent,
64,38.632263,38.888263,0.256,sounding,NORTH_war
65,38.888263,39.776263,0.888,silent,
66,39.776263,39.936263,0.16,sounding,LOT_got
67,39.936263,40.816263,0.88,silent,
68,40.816263,40.992263,0.176,sounding,NURSE_hurt
69,40.992263,41.928263,0.936,silent,
70,41.928263,42.136263,0.208,sounding,NEAR_here
71,42.136263,43.048263,0.912,silent,
72,43.048263,43.224263,0.176,sounding,NORTH_north
73,43.224263,44.184263,0.96,silent,
74,44.184263,44.360263,0.176,sounding,CHOICE_choice
75,44.360263,45.272263,0.912,silent,
76,45.272263,45.536263,0.264,sounding,FACE_face
77,45.536263,46.336263,0.8,silent,
78,46.336263,46.592263,0.256,sounding,SQUARE_care
79,46.592263,47.360263,0.768,silent,
80,47.360263,47.800263,0.44,sounding,STRUT_trunk
81,47.800263,48.440263,0.64,silent,
82,48.440263,48.624263,0.184,sounding,MOUTH_out
83,48.624263,49.528263,0.904,silent,
84,49.528263,49.736263,0.208,sounding,2COMMA_quota
85,49.736263,50.760263,1.024,silent,
86,50.760263,51.048263,0.288,sounding,SQUARE_air
87,51.048263,51.816263,0.768,silent,
88,51.816263,51.960263,0.144,sounding,NORTH_born
89,51.960263,53.976263,2.016,silent,
90,53.976263,54.112263,0.136,sounding,START_heart
91,54.112263,54.976263,0.864,silent,
92,54.976263,55.424263,0.448,sounding,PALM_spa
93,55.424263,56.216263,0.792,silent,
94,56.216263,56.368263,0.152,sounding,NORTH_storm
95,56.368263,58.336263,1.968,silent,
96,58.336263,58.568263,0.232,sounding,TRAP_trap
97,58.568263,59.368263,0.8,silent,
98,59.368263,59.680263,0.312,sounding,FOOT_foot
99,59.680263,60.472263,0.792,silent,
100,60.472263,60.712263,0.24,sounding,STRUT_strut
101,60.712263,61.496263,0.784,silent,
102,61.496263,61.680263,0.184,sounding,2LETTER_butter
103,61.680263,62.560263,0.88,silent,
104,62.560263,62.808263,0.248,sounding,FLEECE_beat
105,62.808263,63.568263,0.76,silent,
106,63.568263,63.824263,0.256,sounding,FLEECE_speak
107,63.824263,64.680263,0.856,silent,
108,64.680263,64.848263,0.168,sounding,PRICE_hide
109,64.848263,65.656263,0.808,silent,
110,65.656263,65.904263,0.248,sounding,PRICE_buy
111,65.904263,68.056263,2.152,silent,
112,68.056263,68.320263,0.264,sounding,SQUARE_fair
113,68.320263,69.304263,0.984,silent,
114,69.304263,69.448263,0.144,sounding,THOUGHT_taught
115,69.448263,70.320263,0.872,silent,
116,70.320263,70.472263,0.152,sounding,THOUGHT_jaw
117,70.472263,71.408263,0.936,silent,
118,71.408263,71.712263,0.304,sounding,NURSE_nurse
119,71.712263,72.480263,0.768,silent,
120,72.480263,72.616263,0.136,sounding,THOUGHT_caught
121,72.616263,74.560263,1.944,silent,
122,74.560263,74.864263,0.304,sounding,LOT_lot
123,74.864263,75.728263,0.864,silent,
124,75.728263,75.880263,0.152,sounding,DRESS_step
125,75.880263,76.760263,0.88,silent,
126,76.760263,76.960263,0.2,sounding,NEAR_near
127,76.960263,77.832263,0.872,silent,
128,77.832263,78.040263,0.208,sounding,GOOSE_tooth
129,78.040263,78.960263,0.92,silent,
130,78.960263,79.272263,0.312,sounding,LOT_stop
131,79.272263,80.112263,0.84,silent,
132,80.112263,80.320263,0.208,sounding,PALM_psalm
133,80.320263,81.200263,0.88,silent,
134,81.200263,81.424263,0.224,sounding,2LETTER_paper
135,81.424263,82.376263,0.952,silent,
136,82.376263,82.520263,0.144,sounding,KIT_sit
137,82.520263,83.376263,0.856,silent,
138,83.376263,83.576263,0.2,sounding,FLEECE_feel
139,83.576263,84.344263,0.768,silent,
140,84.344263,84.672263,0.328,sounding,GOOSE_goose
141,84.672263,85.424263,0.752,silent,
142,85.424263,85.664263,0.24,sounding,NURSE_work
143,85.664263,86.440263,0.776,silent,
144,86.440263,86.736263,0.296,sounding,FOOT_book
145,86.736263,87.536263,0.8,silent,
146,87.536263,87.816263,0.28,sounding,CHOICE_boy
147,87.816263,88.536263,0.72,silent,
148,88.536263,88.888263,0.352,sounding,GOAT_boat
149,88.888263,89.560263,0.672,silent,
150,89.560263,89.728263,0.168,sounding,CLOTH_boss
151,89.728263,90.592263,0.864,silent,
152,90.592263,90.856263,0.264,sounding,2COMMA_sofa
153,90.856263,91.664263,0.808,silent,
154,91.664263,91.840263,0.176,sounding,FORCE_force
155,91.840263,92.704263,0.864,silent,
156,92.704263,92.832263,0.128,sounding,GOAT_know
157,92.832263,93.744263,0.912,silent,
158,93.744263,93.968263,0.224,sounding,2HAPPY_city
159,93.968263,94.784263,0.816,silent,
160,94.784263,95.096263,0.312,sounding,NEAR_beer
161,95.096263,96.016263,0.92,silent,
162,96.016263,96.192263,0.176,sounding,MOUTH_cow
163,96.192263,97.152263,0.96,silent,
164,97.152263,97.328263,0.176,sounding,PALM_palm
165,97.328263,98.200263,0.872,silent,
166,98.200263,98.376263,0.176,sounding,CLOTH_cloth
167,98.376263,99.208263,0.832,silent,
168,99.208263,99.512263,0.304,sounding,FLEECE_bleed
169,99.512263,100.472263,0.96,silent,
170,100.472263,100.704263,0.232,sounding,CLOTH_cross
171,100.704263,101.480263,0.776,silent,
172,101.480263,101.688263,0.208,sounding,2HAPPY_happy
173,101.688263,102.560263,0.872,silent,
174,102.560263,102.800263,0.24,sounding,GOOSE_food
175,102.800263,103.616263,0.816,silent,
176,103.616263,103.800263,0.184,sounding,DRESS_bed
177,103.800263,104.616263,0.816,silent,
178,104.616263,104.864263,0.248,sounding,FLEECE_fleece
179,104.864263,105.760263,0.896,silent,
180,105.760263,105.944263,0.184,sounding,GOAT_goat
181,105.944263,106.776263,0.832,silent,
182,106.776263,107.000263,0.224,sounding,THOUGHT_thought
183,107.000263,109.528526,2.528263,silent,
