label,F1,F2,F3,category
[i],280,2250,2900,front_unrounded
[ɪ],400,1920,2550,front_unrounded
[e],390,2100,2700,front_unrounded
[ɛ],550,1770,2500,front_unrounded
[æ],690,1660,2500,front_unrounded
[a],730,1500,2500,front_unrounded
[y],280,1800,2150,front_rounded
[ʏ],360,1640,2150,front_rounded
[ø],380,1400,2200,front_rounded
[œ],510,1475,2350,front_rounded
[ɶ],700,1300,2450,front_rounded
[ɨ],300,1550,2500,central_unrounded
[ɘ],400,1500,2500,central_unrounded
[ə],500,1500,2500,central
[ɜ],580,1400,2500,central_unrounded
[ɐ],650,1400,2500,central
[ä],750,1300,2500,central
[ʉ],310,1200,2300,central_rounded
[ɵ],380,1250,2300,central_rounded
[ɞ],550,1200,2300,central_rounded
[ɯ],300,1300,2500,back_unrounded
[ɤ],400,1200,2500,back_unrounded
[ʌ],640,1200,2500,back_unrounded
[ɑ],710,1100,2500,back_unrounded
[u],310,870,2250,back_rounded
[ʊ],450,1030,2350,back_rounded
[o],400,850,2500,back_rounded
[ɔ],590,880,2500,back_rounded
[ɒ],650,850,2500,back_rounded
[ɚ],500,1350,1600,rhotic
[ɜ˞],500,1400,1650,rhotic